Datetime,BTC Price,Confidence Signal,Current Balance
2023-06-25 04:45:37.795784,30217.06,0.673992673992674,39574.69668181647
2023-06-25 04:50:42.031005,30266.99,0.6703296703296703,39636.33194103477
2023-06-25 04:53:06.196318,30277.41,0.6703296703296703,39649.18874079835
2023-06-25 04:53:26.637627,30277.41,0.6703296703296703,39649.17711043291
2023-06-25 04:56:05.172359,30279.7,0.6666666666666666,39651.995584472286
2023-06-25 05:01:09.468040,30299.99,0.663003663003663,39677.06682694597
2023-06-25 05:06:13.179554,30345.48,0.6593406593406593,39733.306678375724
2023-06-25 05:11:17.391159,30353.5,0.6556776556776557,39743.216198775284
2023-06-25 05:16:21.145870,30353.5,0.652014652014652,39743.20630027429
2023-06-25 05:43:22.641345,30375.54,0.6410256410256411,39770.47187612875
2023-06-25 05:48:26.771644,30390.45,0.6410256410256411,39788.919117882644
2023-06-25 05:53:30.355562,30390.45,0.6410256410256411,39788.91078815934
2023-06-25 05:58:34.052868,30392.82,0.6410256410256411,39791.837374724615
2023-06-25 06:03:38.005400,30432.55,0.6410256410256411,39841.03948586249
2023-06-25 06:08:41.896064,30450.81,0.6410256410256411,39863.650500928015
2023-06-25 06:13:45.806519,30462.43,0.6410256410256411,39878.04132341338
2023-06-25 06:18:50.639014,30491.99,0.6410256410256411,39914.67012476834
2023-06-25 06:23:54.931978,30506.15,0.6373626373626373,39932.21606374949
2023-06-25 06:35:34.523808,30542.4,0.5494505494505495,39977.156465027496
2023-06-25 06:40:37.486039,30542.4,0.5494505494505495,39977.156465027496
2023-06-25 06:45:40.717016,30550.3,0.5494505494505495,39986.95206902419
2023-06-25 06:50:43.780939,30565.12,0.5494505494505495,40005.32812614205
2023-06-25 06:55:47.657806,30608.97,0.5494505494505495,40059.6999280731
2023-06-25 06:56:43.646929,30608.97,0.5494505494505495,40059.6999280731
2023-06-25 07:00:14.465617,30608.97,0.5494505494505495,40059.6999280731
2023-06-25 07:05:17.606511,30654.51,0.5494505494505495,40116.16724528952
2023-06-25 07:10:20.502143,30678.25,0.5494505494505495,40145.60365527454
2023-06-25 07:15:23.708204,30701.89,0.5494505494505495,40174.91607027226
2023-06-25 07:20:26.799790,30706.25,0.5494505494505495,40180.32225171854
2023-06-25 07:25:31.234608,30723.86,0.5494505494505495,40202.15776898207
2023-06-25 07:30:34.389205,30729.1,0.5494505494505495,40208.65510631659
2023-06-25 07:42:18.195428,30366.39,0.6593406593406593,39758.91288788076
2023-06-25 07:47:22.296224,30414.2,0.6593406593406593,39818.200506922294
2023-06-25 07:52:26.087272,30443.19,0.6593406593406593,39854.150087362796
2023-06-25 07:57:30.180312,30450.81,0.6593406593406593,39863.59609870858
2023-06-25 08:02:35.081090,30462.43,0.6593406593406593,39878.009511638425
2023-06-25 08:07:39.311507,30491.99,0.6593406593406593,39914.69999023954
2023-06-25 08:12:43.363851,30491.99,0.6593406593406593,39914.69038211269
2023-06-25 08:17:47.505035,30506.15,0.6593406593406593,39932.269559981345
2023-06-25 08:22:51.575382,30538.26,0.6593406593406593,39972.156243049394
2023-06-25 08:27:55.560125,30542.4,0.6593406593406593,39977.291944492295
2023-06-25 08:32:59.770743,30542.4,0.6593406593406593,39977.28253435309
2023-06-25 08:38:04.088703,30542.4,0.6593406593406593,39977.273154766284
2023-06-25 08:49:55.562921,30552.4,0.673992673992674,39989.700977334294
2023-06-25 08:54:59.769487,30565.12,0.6813186813186813,40005.51352129325
2023-06-25 09:00:05.063551,30741.66,0.6886446886446886,40225.19336604301
2023-06-25 09:05:09.434651,30705.15,0.6923076923076923,40179.73334696864
2023-06-25 09:10:13.606573,30699.99,0.6959706959706959,40173.29333136613
2023-06-25 09:15:17.899924,30359.15,0.6996336996336996,39748.72728140784
2023-06-25 09:20:21.842543,30366.39,0.7032967032967034,39757.73531833624
2023-06-25 09:25:26.158107,30450.81,0.7032967032967034,39862.94629777414
2023-06-25 09:30:30.081458,30491.99,0.7032967032967034,39914.2787842606
2023-06-25 09:35:34.091840,30506.15,0.7032967032967034,39931.927382251684
2023-06-25 09:40:37.947913,30538.26,0.7032967032967034,39971.977526908246
2023-06-25 09:45:41.950045,30542.4,0.7032967032967034,39977.132127325895
2023-06-25 09:57:30.590168,30542.4,0.7142857142857143,39977.1197841563
2023-06-25 10:02:34.645988,30542.4,0.7142857142857143,39977.10661607189
2023-06-25 10:07:38.622024,30549.43,0.7142857142857143,39985.87638210097
2023-06-25 10:12:43.325644,30551.82,0.7142857142857143,39988.85030014511
2023-06-25 10:17:47.485275,30558.47,0.7142857142857143,39997.15112418992
2023-06-25 10:22:51.689291,30565.12,0.7142857142857143,40005.454820697494
2023-06-25 10:27:55.910347,30608.97,0.7142857142857143,40060.29923171447
2023-06-25 10:33:00.372193,30600.01,0.717948717948718,40049.07380943611
2023-06-25 10:38:04.137474,30654.51,0.7216117216117216,40117.28554557541
2023-06-25 10:43:08.124394,30651.97,0.7252747252747253,40114.091774114124
2023-06-25 10:48:11.990468,30162.07,0.7252747252747253,39500.37594736792
2023-06-25 10:53:16.057440,30750.56,0.7252747252747253,40237.82007758029
2023-06-25 11:05:04.400215,30654.52,0.73992673992674,40117.41542738133
2023-06-25 11:10:08.329520,30633.84,0.73992673992674,40091.468408415094
2023-06-25 11:15:12.009367,30636.59,0.73992673992674,40094.90303626607
2023-06-25 11:20:16.019354,30614.2,0.73992673992674,40066.79151647869
2023-06-25 11:25:20.197580,30635.02,0.73992673992674,40092.914478931205
2023-06-25 11:30:24.264522,30612.12,0.73992673992674,40064.141953300765
